City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,avarua,-21.2078,-159.775,25.03,88,75,8.23,CK,1683656253
84,iqaluit,63.7506,-68.5145,-1.15,58,20,2.57,CA,1683656253
85,levuka,50.1834,-105.4011,17.9,52,75,2.06,CA,1683656254
86,casiguran,12.8736,124.0097,26.23,85,79,1.95,PH,1683656254
87,karratha,-20.7377,116.8463,23.11,56,47,3.73,AU,1683656255
88,punta arenas,-53.15,-70.9167,7.06,57,40,6.69,CL,1683656041
89,tulun,54.5611,100.5792,14.21,45,100,3.2,RU,1683656256
90,ambon,-3.6954,128.1814,29.42,90,40,1.54,ID,1683656125
91,prince rupert,54.3161,-130.3201,10.05,81,0,2.06,CA,1683656142
92,toliara,-23.35,43.6667,24.2,80,85,1.93,MG,1683655969
93,nuuk,64.1835,-51.7216,0.34,80,100,3.6,GL,1683656142
94,usinsk,65.9939,57.5281,-0.08,98,100,5.58,RU,1683656258
95,gargalianoi,37.0667,21.6333,18.53,76,100,2.27,GR,1683656259
96,happy valley-goose bay,53.3168,-60.3315,6.17,33,75,13.38,CA,1683656259
97,rio grande,-32.035,-52.0986,26.06,57,0,4.59,BR,1683656259
98,masuguru,-11.3667,38.4167,22.51,66,53,0.6,TZ,1683656260
99,ratne,51.6683,24.5303,8.27,64,87,2.06,UA,1683656260
100,genhe,50.7833,121.5167,-0.08,48,2,0.74,CN,1683656260
101,st. john's,47.5649,-52.7093,4.66,89,100,10.29,CA,1683656124
102,ushuaia,-54.8,-68.3,6.79,56,20,6.17,AR,1683656248
103,san pedro pochutla,15.7333,-96.4667,34.84,45,7,4.02,MX,1683656138
104,el calafate,-50.3408,-72.2768,4.94,87,94,0.68,AR,1683656041
105,kaa-khem,51.6833,94.7333,9.59,85,98,1.09,RU,1683656262
106,longboat key,27.4125,-82.659,32.35,60,0,5.14,US,1683656087
107,haiku-pauwela,20.9219,-156.3051,24.01,69,20,7.2,US,1683656193
108,buka,40.8108,69.1986,20.01,38,0,3.49,UZ,1683656262
109,luderitz,-26.6481,15.1594,17.08,61,0,2.56,NA,1683655984
110,rodolfo sanchez taboada,31.7167,-116.5667,18.38,57,2,4.5,MX,1683656263
111,luanda,-8.8368,13.2343,28.0,83,0,4.12,AO,1683656192
112,vargashi,55.3556,65.8467,5.01,39,53,2.25,RU,1683656264
113,san patricio,28.017,-97.5169,27.92,80,100,3.47,US,1683656264
114,kamphaeng phet,16.25,99.5,27.07,75,80,2.34,TH,1683656264
115,el triunfo,-1.9333,-79.9667,31.02,69,87,1.01,EC,1683656247
116,tionk essil,12.7856,-16.5217,35.03,46,37,5.3,SN,1683656265
117,souillac,-20.5167,57.5167,24.21,88,20,4.63,MU,1683656064
118,manokwari,-0.8667,134.0833,26.26,80,100,2.13,ID,1683656002
119,santa marta de ortigueira,43.6833,-7.85,15.7,81,2,1.79,ES,1683656266
120,alice springs,-23.7,133.8833,1.75,69,0,3.13,AU,1683656266
121,margaret river,-33.95,115.0667,18.63,74,12,10.99,AU,1683656266
122,vorgashor,67.5833,63.95,-8.24,99,90,1.27,RU,1683656267
123,broome,42.2506,-75.833,18.89,35,0,6.17,US,1683655994
124,kirensk,57.7853,108.1119,11.49,65,15,4.16,RU,1683656267
125,sao joao da barra,-21.6403,-41.0511,28.05,72,91,5.0,BR,1683656267
126,new norfolk,-42.7826,147.0587,11.07,68,92,1.97,AU,1683656268
127,reyes,-14.3167,-67.3833,27.09,69,40,3.6,BO,1683656268
128,gokarna,14.55,74.3167,27.87,83,92,1.04,IN,1683656268
129,ghat,24.9647,10.1728,26.05,21,91,7.83,LY,1683656269
130,kill devil hills,36.0307,-75.676,23.01,72,0,5.66,US,1683656269
